roll,pitch,yaw,x,y,z
-1.62445,-0.00514914,-1.63288,-0.239896,0.0721532,-0.103003
-1.82064,-0.078287,-1.4754,-0.0784173,-0.371739,0.505669
-1.62538,-0.0106951,-1.60808,-0.234193,-0.00104542,-0.100359
-1.67924,-0.0192588,-1.60644,-0.185301,-0.00588451,0.0385548
-1.63119,-0.00895645,-1.59822,-0.228578,-0.0381318,-0.0841001
-1.61876,-0.0217335,-1.60463,-0.328958,-0.0113877,-0.121294
-1.6105,0.00512246,-1.59141,-0.213447,-0.05043,-0.140913
-1.61809,0.00095074,-1.64364,-0.256239,0.110134,-0.123487
-1.62432,-0.0378542,-1.62612,-0.245264,0.0513297,-0.105235
-1.59723,0.0219579,-1.61025,-0.240663,0.00475476,-0.173902
-1.61913,0.00147646,-1.5969,-0.294196,-0.0297846,-0.114739
-1.65266,-0.0194926,-1.57887,-0.220532,-0.0904453,-0.0222248
-1.62316,0.00359717,-1.60308,-0.224169,-0.018544,-0.110327
-1.61919,-0.021533,-1.61524,-0.282872,0.022285,-0.118971
-1.62489,-0.0103962,-1.62522,-0.266014,0.0514209,-0.102665
-1.70556,-0.0463765,-1.60763,-0.182433,0.0179772,0.0851311
-1.58489,-0.034792,-1.67363,-0.263196,0.202665,-0.232122
-1.61433,-0.0112204,-1.60344,-0.241469,-0.0161132,-0.130977
-1.62929,-0.00852361,-1.60878,-0.207149,-0.00159641,-0.0897621
-1.63239,-0.0138665,-1.60262,-0.25719,-0.0210109,-0.0797054
-1.60233,-0.0796223,-1.64415,-0.197846,0.0783015,-0.157387
-1.62419,-0.0183602,-1.62957,-0.238481,0.0616783,-0.104677
-1.62289,-0.0283419,-1.63948,-0.224438,0.0875735,-0.109705
-1.59467,-0.347783,-1.64124,-0.148981,0.121937,-0.0978481
-1.62765,-0.0283751,-1.62144,-0.217233,0.0365936,-0.0963144
-1.63655,-0.0227708,-1.59737,-0.236241,-0.0376783,-0.0681176
-1.62319,-0.0488331,-1.61124,-0.211332,0.00745648,-0.10842
-1.61415,-0.00272213,-1.58525,-0.239913,-0.0651824,-0.130801
-1.63695,-0.00113384,-1.6055,-0.214319,-0.00655038,-0.0688562
-1.61674,0.0137376,-1.62973,-0.2352,0.0561219,-0.1304
-1.6332,-0.0264157,-1.59175,-0.282292,-0.0522103,-0.0774515
-1.66864,-0.00899978,-1.59484,-0.189696,-0.0326374,0.00809642
-1.62928,-0.00566398,-1.60501,-0.204736,-0.0109264,-0.0892766
-1.63668,-0.0279018,-1.60248,-0.251234,-0.0172134,-0.0725308
-1.59875,0.0150334,-1.60103,-0.194556,-0.0193741,-0.171563
-1.60415,0.00909847,-1.59944,-0.218557,-0.0280343,-0.157317
-1.64378,-0.0341057,-1.59716,-0.233625,-0.0333033,-0.0453918
-1.62958,0.00934636,-1.61957,-0.231013,0.0303934,-0.088892
-1.63014,-0.0174083,-1.61397,-0.202171,0.00991277,-0.0897833
-1.6323,-0.014427,-1.60693,-0.230233,-0.00715144,-0.0814474
-1.63321,-0.0125661,-1.62548,-0.186673,0.0392549,-0.0838949
-1.69533,-0.0810426,-1.53117,-0.173622,-0.191356,0.123055
-1.62788,0.0206891,-1.6035,-0.267044,-0.00573897,-0.0834816
-1.62403,-0.0151781,-1.60717,-0.289286,0.00014224,-0.105658
-1.65598,0.00868584,-1.6263,-0.174933,0.0456335,-0.0350846
-1.63158,-0.00936709,-1.61132,-0.205279,0.00305569,-0.0847479
-1.62202,-0.00255667,-1.6289,-0.27335,0.0619376,-0.11126
-1.6329,-0.0224017,-1.60693,-0.205532,-0.00734061,-0.0832684
-1.62047,-0.0644291,-1.63104,-0.235029,0.0653149,-0.117302
-1.60656,-0.0214294,-1.62197,-0.237184,0.0415851,-0.152011
