roll,pitch,yaw,x,y,z
-1.94707,-1.0314,0.317138,2.23918,-1.78962,-0.479795
-1.9969,-1.04112,0.234405,2.06877,-1.74421,-0.448545
-0.903278,-0.0211642,1.98592,3.90534,-0.814037,-0.667283
-0.903888,-0.023984,1.87641,3.81354,-0.921288,-0.668666
-2.0207,-0.937451,0.589922,2.60264,-1.86547,-0.33768
-2.01039,-1.03889,0.415864,2.37713,-1.83597,-0.458298
-2.01015,-0.965883,0.506177,2.44625,-1.84601,-0.373924
-1.97844,-1.04906,0.355106,2.27207,-1.77802,-0.485443
-0.909847,-0.0619226,2.10732,4.06207,-0.369776,-0.682944
-0.580663,-0.651439,1.91851,3.87145,0.210055,-1.44992
-0.907266,-0.0365509,1.83391,3.79347,-1.02968,-0.681261
-1.97342,-1.05394,0.020128,1.74459,-1.54963,-0.46822
-0.631601,-0.60249,1.90421,3.93196,0.12289,-1.41295
-0.862204,-0.0420879,1.85978,3.95994,-1.0096,-0.751934
-0.937791,-0.0699006,1.77,3.91125,-1.08495,-0.691001
1.10621,-0.898871,1.5099,1.46553,0.0437984,-1.18763
1.13497,-0.324687,1.5339,1.24719,-0.778205,-0.694788
-0.91143,-0.0379834,2.01575,4.00428,-0.523297,-0.662063
-0.965093,-0.240931,1.99248,4.45427,-0.220117,-0.857388
1.09161,-0.274026,1.61109,1.34414,-0.909188,-0.713733
-0.919143,-0.0240885,1.98566,3.93199,-0.770027,-0.648166
-2.02475,-0.997835,0.493218,2.49408,-1.84945,-0.398296
0.276585,-0.94377,1.87097,2.51427,0.581063,-1.59653
-0.902857,-0.0242333,1.92765,3.87143,-0.844521,-0.665918
-2.02313,-1.04181,0.580027,2.6486,-1.81541,-0.466547
-1.5353,-0.183123,-1.19393,0.843629,0.51537,0.0540683
-1.52752,-0.186566,-1.18656,0.775675,0.487093,0.0224601
-0.224247,-0.838311,1.93086,3.41073,0.535792,-1.62775
-1.40037,-0.101146,-1.05726,0.884728,0.294529,-0.0501327
-1.49191,-0.151065,-1.09132,0.964689,0.412108,0.0575621
-0.669508,-0.549646,1.90966,3.98158,0.0531922,-1.37619
-0.929177,-0.0662293,1.90851,3.83435,-0.895328,-0.681595
-1.53909,-0.175099,-1.1979,0.844321,0.524492,0.0659776
-1.56167,-0.100642,-0.831983,0.906473,-0.0600186,0.169585
1.14711,-0.872998,1.46366,1.39755,0.0352525,-1.15017
-1.56079,-0.190354,-1.188,0.839976,0.510751,0.0821298
-1.54621,-0.185281,-1.19308,0.848614,0.515988,0.0682534
-1.5276,-0.200444,-1.18999,0.805112,0.495264,0.0165554
1.04943,-0.208866,1.60343,1.37049,-0.972569,-0.702255
1.14919,-0.842716,1.45314,1.38181,0.00907791,-1.14524
-1.25141,-0.75051,-1.92969,1.46509,0.958863,-0.846657
-0.948505,-0.0219781,2.01287,4.01133,-0.535991,-0.59879
-1.46498,-0.0802947,-1.0393,0.975534,0.321709,0.0784228
-1.00867,0.154217,2.00806,4.16138,-0.651825,-0.293739
-0.719998,-0.537869,1.90846,4.03842,0.0290021,-1.33128
-1.1269,-0.173432,1.71581,4.51598,-0.762337,-0.549712
-1.55628,-0.184737,-1.20437,0.84852,0.536995,0.0816359
-1.48071,-0.141877,-1.0847,0.986961,0.386968,0.0526027
-1.4596,-0.0366786,-1.00402,0.973501,0.254711,0.108692
-0.859977,-0.13311,2.0182,3.94599,-0.438843,-0.814833
