roll,pitch,yaw,x,y,z
0.355616,0.282851,-0.811647,2.19637,1.68872,-2.31525
0.698421,0.189989,-0.523449,2.91023,1.22291,-2.48134
0.331872,0.0913043,-0.694232,2.8555,1.47776,-2.90186
0.275891,0.628826,-0.997195,2.70726,1.94744,-2.95778
-0.939286,0.549847,-0.993301,-0.0975464,-0.613406,-2.06739
0.588701,-0.158455,-1.9962,3.24539,-0.736699,-2.65289
0.58762,0.93962,-0.701163,2.51189,2.27152,-1.71961
0.520401,0.266808,-0.797002,2.83088,1.63762,-2.63273
0.841219,-0.264821,-1.96736,4.81519,-1.31722,-2.31329
-1.10816,0.386514,-0.721705,-0.00873622,-2.01946,-1.7686
1.00156,0.492232,-0.912787,3.60165,2.53176,-1.77516
1.24832,-0.296186,-1.03852,4.81522,1.43286,-1.05679
0.293949,0.402245,-1.01133,2.45063,1.64474,-2.09515
0.810528,0.305004,-2.05403,3.82923,-0.440578,-2.43243
0.436804,0.29789,-0.679898,2.86734,1.16993,-2.84736
0.264345,-0.75888,-2.02695,2.59473,-1.00495,-2.00964
-1.24136,0.198946,-0.9864,-0.214447,-1.37723,-1.23999
-1.64299,-0.271109,-1.24251,-0.411831,-0.808549,-0.205422
-1.59125,0.0904643,2.33573,4.08488,1.32337,-0.420365
-1.36816,0.0822539,-0.920203,-0.241177,-1.94597,-0.988299
0.511955,-0.610277,-2.18859,2.75523,-1.01149,-2.43854
0.305128,0.325882,-0.998214,2.59696,1.69578,-2.25093
0.422678,-0.614732,2.98378,0.0282219,0.304574,-1.29988
0.538108,-0.253457,-1.93989,2.46431,-0.77319,-2.20901
0.510769,0.489383,-0.538344,2.591,2.0988,-2.40988
-1.61531,0.0277767,-1.20735,-0.330046,-0.997837,-0.278192
-1.94986,0.106694,-1.17797,-0.179085,-1.2246,0.782732
0.804419,0.0638142,-1.90593,3.1405,-0.324295,-2.09745
-1.52708,0.076701,-1.19784,-0.24004,-0.938227,-0.508264
0.642549,0.542662,-0.36582,2.59016,2.40765,-2.37006
-1.81226,0.0842641,-1.12181,-0.212796,-1.28169,0.329567
0.675683,0.287341,-0.706161,2.40403,1.7299,-2.01895
1.34774,0.00495322,-1.82131,4.24925,-0.721249,-0.79622
1.88298,0.295323,-2.98413,2.72046,-3.10564,0.282152
-1.58164,-0.142202,-1.26837,-0.367362,-0.700455,-0.30957
-0.475376,1.00121,-1.02427,0.262786,1.16644,-1.89606
1.01286,-0.208261,2.73334,0.873586,-0.0845221,-1.61776
-1.04457,-0.147185,-1.92916,0.449432,0.947014,-2.27149
-1.74173,0.0622326,-1.22846,0.00761536,-0.834508,0.0869899
0.571509,0.51336,-0.60726,1.98583,2.07556,-1.626
0.538587,0.263798,-0.792447,2.61523,1.54845,-2.6965
-0.0711249,1.0359,-0.962152,0.556857,1.46649,-1.85212
-2.03767,0.0258745,-1.24173,0.11557,-0.882326,0.792051
-2.18487,-0.165423,-1.2566,0.30077,-0.473355,0.975605
-0.293126,0.785411,-0.816258,0.839839,0.661714,-2.60261
-1.99992,-0.309706,-1.0002,0.190037,-0.839899,0.517853
0.0177185,-0.471344,-1.84927,2.51796,-1.28223,-3.21123
-2.03556,-0.104021,-1.28422,0.229763,-0.504057,0.689525
0.705416,-0.272048,-1.88246,4.32929,-0.925444,-2.44462
-1.40905,0.0830267,-0.914972,-0.309616,-1.84109,-0.788744
