roll,pitch,yaw,x,y,z
-1.68654,0.00204608,-1.48379,0.0680764,-0.0203604,-0.216603
-1.6956,-0.0239105,-1.49682,0.0568159,0.0147571,-0.187905
-1.67608,-0.0055828,-1.49184,0.0639482,-0.000612311,-0.240594
-1.69637,-0.0250374,-1.48896,0.0589644,-0.00656972,-0.194883
-1.70162,-0.0255834,-1.49618,0.0601497,0.01398,-0.177222
-1.69126,-0.0157394,-1.49275,0.0599289,0.00366426,-0.199615
-1.67914,-0.00678776,-1.48716,0.064068,-0.0137404,-0.239327
-1.69045,0.00367649,-1.49266,0.0650246,0.00335058,-0.206084
-1.71491,-0.0182823,-1.48867,0.0588826,-0.00652521,-0.147972
