roll,pitch,yaw,x,y,z
-1.68477,0.00200427,-1.48475,0.0679909,-0.0174707,-0.221287
-1.69544,-0.0229645,-1.4994,0.0574223,0.0203459,-0.187875
-1.67321,-0.00488877,-1.49019,0.0648572,-0.00460234,-0.248074
-1.69517,-0.0203022,-1.49201,0.0616647,0.00263358,-0.195766
-1.69879,-0.0271252,-1.49506,0.0589952,0.0108013,-0.186727
-1.69357,-0.0199026,-1.49085,0.0596735,-0.000565162,-0.195914
-1.68016,-0.00989273,-1.48707,0.0652993,-0.0149585,-0.236814
-1.68385,0.00248143,-1.48707,0.067119,-0.0108375,-0.222811
-1.7159,-0.0185215,-1.48839,0.0589904,-0.00725771,-0.14537
-1.70392,-0.0189317,-1.49274,0.0579189,0.00399837,-0.171113
-1.70089,-0.0291829,-1.49159,0.0618709,0.0020993,-0.181184
-1.70858,-0.0179625,-1.48276,0.0700549,-0.0235859,-0.16516
-1.69668,-0.0263813,-1.48736,0.0569029,-0.00939967,-0.188493
-1.69592,-0.0275172,-1.48218,0.0572081,-0.0232638,-0.195757
-1.68894,-0.034995,-1.49402,0.0623357,0.00362273,-0.202719
-1.69477,0.00510227,-1.48915,0.0673863,-0.00622814,-0.201601
-1.69974,-0.0276599,-1.49262,0.054516,0.00565536,-0.180855
-1.68983,-0.0244203,-1.50028,0.0609813,0.0258577,-0.204583
-1.67652,-0.0186671,-1.48165,0.0595969,-0.0270867,-0.243921
-1.67459,-0.00871228,-1.49437,0.0678126,0.00935791,-0.247688
-1.67937,-0.0136156,-1.49192,0.0648579,-0.000843093,-0.227751
-1.70395,-0.0293591,-1.49768,0.0590336,0.0154829,-0.17586
-1.69359,-0.00710698,-1.48474,0.0662614,-0.0210191,-0.202785
-1.69186,-0.0276581,-1.49693,0.063559,0.0087276,-0.195678
-1.69555,-0.0279835,-1.48936,0.0598826,-0.00621589,-0.196831
-1.70535,-0.0197568,-1.48731,0.0659112,-0.0105236,-0.174509
-1.68341,-0.035906,-1.49414,0.064558,0.0025687,-0.214628
-1.70071,-0.00864899,-1.48436,0.0675448,-0.0198106,-0.183357
-1.69082,-0.0422728,-1.48315,0.0638558,-0.0212568,-0.210638
-1.6935,-0.034609,-1.48217,0.0569411,-0.0206654,-0.196699
-1.68692,-0.0172057,-1.49664,0.0624482,0.0151603,-0.211363
-1.69854,-0.0237969,-1.50165,0.0600445,0.0244056,-0.183777
-1.69552,-0.0176605,-1.50263,0.0674362,0.0273712,-0.185582
-1.69275,-0.024761,-1.49475,0.0618544,0.0125607,-0.207973
-1.69934,-0.0203607,-1.49826,0.0591282,0.0147012,-0.180562
-1.69163,-0.0206279,-1.50354,0.0658132,0.0341818,-0.206665
-1.69873,-0.027227,-1.50098,0.0637367,0.0276559,-0.190072
-1.69284,-0.034549,-1.49455,0.0644906,0.00460948,-0.19844
-1.70704,-0.0226879,-1.49219,0.0631767,0.0033087,-0.167079
-1.69363,-0.0142299,-1.49779,0.0654288,0.0203246,-0.193154
-1.70662,-0.0202025,-1.49049,0.0596798,-0.000747901,-0.164357
-1.67718,-0.0195011,-1.49176,0.0646311,-0.000943156,-0.250341
-1.68577,-0.0222142,-1.4833,0.062241,-0.0208359,-0.215349
-1.68829,-0.0203269,-1.493,0.0618153,0.00994005,-0.216717
-1.71899,0.0157675,-1.49089,0.0585057,0.000974067,-0.122081
-1.69127,-0.0119385,-1.49827,0.0616023,0.0204594,-0.198359
-1.67981,-0.00596609,-1.49393,0.0652483,0.00298368,-0.240637
-1.71296,-0.0181853,-1.48973,0.0633933,-0.000831492,-0.149973
-1.68797,-0.0277365,-1.47736,0.0624338,-0.0381116,-0.216296
-1.69331,-0.0377377,-1.50527,0.0664425,0.027692,-0.194992
