roll,pitch,yaw,x,y,z
-1.87651,0.0735999,-1.69961,0.0224321,0.299899,0.377298
-1.77019,0.0397075,-1.57979,-0.0934932,-0.0127255,0.112228
-1.72556,0.045557,-1.61612,0.00788928,0.0986261,-0.0279522
2.47317,0.225891,-2.24875,5.15502,-1.96283,1.93256
3.61333,0.762615,-2.00442,0.975071,-1.13666,1.44834
0.840471,-0.687893,-1.48758,5.75301,-1.28905,-1.77794
-1.6934,0.039319,-1.63517,-0.27225,0.161044,-0.150086
-1.64475,-0.0107934,-1.6111,-0.228837,0.0883721,-0.21385
-1.4936,-0.0570316,-1.72556,-0.222973,0.445042,-0.713895
-1.51388,-0.0644615,-1.73221,-0.248668,0.52318,-0.738489
-2.5153,-0.352251,-1.08532,1.16218,-0.0457219,2.05842
1.74043,-0.259043,-2.44749,4.50109,-2.02818,0.396636
1.85399,-0.315396,-0.911314,4.77512,1.92369,0.314435
-1.7896,0.033535,-1.53491,-0.00641532,-0.152242,0.171543
-1.70905,0.0354639,-1.6745,-0.0621493,0.293391,-0.0748069
-1.56597,0.0332182,-1.74319,-0.0417628,0.547601,-0.54549
-1.71354,0.0715436,-1.72847,0.029896,0.439915,-0.079937
-2.6547,-0.247831,-1.0668,1.32848,-0.277538,2.04253
-1.95241,0.0459408,-1.34446,0.279936,-0.818158,0.679663
1.71944,0.00760993,-2.10573,5.19467,-1.50761,0.0639787
1.75394,-0.606675,-1.03969,6.31893,2.301,0.57889
-1.98369,0.0233696,-1.33858,0.295825,-0.845347,0.853936
2.03449,-0.675262,-0.785936,5.00968,3.228,0.9283
-0.0460968,1.923,-1.42421,2.94711,3.17565,-0.00156677
1.70565,-0.2757,-2.20823,5.86984,-1.76229,0.20582
1.66029,-0.479482,-0.809641,4.95841,2.19506,-0.112659
-2.11547,0.620982,2.81164,3.1966,2.9441,0.7244
3.54309,0.739832,-2.00614,1.22364,-1.35347,1.6178
0.867568,-0.570742,-1.48487,5.80413,-1.04006,-1.90045
-2.38926,0.342033,2.58064,3.65778,2.67411,1.46563
1.88325,-0.438621,-0.797887,4.95282,2.53957,0.751889
1.9669,0.341985,2.284,0.147649,-0.682471,0.52587
1.6762,-0.487794,-0.833639,6.01605,2.75295,0.32594
-1.70237,-0.005357,-1.6275,-0.0724698,0.192901,-0.113347
-1.90001,-0.0463631,-1.42185,0.132731,-0.419742,0.528011
-1.992,0.0589158,-1.61606,0.0592469,0.0499815,0.777952
-2.07823,-0.283851,2.42525,4.94383,2.4387,1.08592
1.73897,-0.470433,-0.969212,5.94023,2.14567,0.286772
-2.08668,-0.41148,2.40087,4.51828,2.31946,1.10475
-1.75452,0.0179826,-1.58705,0.00829476,0.00457818,0.0702759
-3.59442,0.284174,2.01364,1.74318,0.314487,2.21036
-1.79212,0.013952,-1.5409,-0.115991,-0.131696,0.217256
-1.69972,0.0351592,-1.66162,0.0324944,0.256998,-0.107104
-1.67139,0.107529,-1.75676,0.0501138,0.542092,-0.224781
-1.8814,0.0358789,-1.47453,0.0836991,-0.3605,0.453835
-1.82768,0.000542481,-1.51776,-0.0534299,-0.185477,0.311298
3.60055,0.822036,-2.01633,0.792831,-1.27433,1.1398
-1.75602,0.0230851,-1.57753,-0.155064,-0.0208301,0.0715518
2.54933,0.304871,-1.99796,3.68583,-1.41884,1.61162
-1.81748,-0.710788,3.60002,1.95609,3.61652,0.157117
