roll,pitch,yaw,x,y,z
-1.65247,-0.0180398,-1.54914,-0.427849,-0.054443,0.037435
-1.67531,0.0164468,-1.53001,-0.455029,-0.113214,0.116898
-1.71443,0.00403088,-1.54216,-0.443449,-0.0793334,0.231862
-1.6788,0.000838347,-1.55219,-0.44855,-0.0346964,0.123357
-1.72215,0.0234618,-1.52112,-0.436301,-0.137562,0.260158
-1.65863,-0.0176685,-1.54325,-0.450095,-0.0739491,0.056351
-1.67485,-0.00942238,-1.5237,-0.424971,-0.130014,0.111205
-1.6749,0.0187278,-1.53591,-0.455501,-0.0928794,0.118767
-1.67678,0.00618806,-1.53996,-0.462637,-0.0801263,0.116923
-1.68373,0.0178816,-1.55427,-0.459654,-0.0308003,0.141413
-1.67515,0.0164382,-1.52971,-0.454607,-0.113005,0.115939
-1.66593,-0.016491,-1.58503,-0.453317,0.0699007,0.0814278
-1.67268,-0.000493677,-1.52982,-0.455485,-0.117043,0.105552
-1.67152,0.0148267,-1.54726,-0.460739,-0.0578037,0.102836
-1.68019,-0.00509239,-1.52214,-0.474785,-0.135756,0.123379
-1.67261,-0.0107279,-1.52948,-0.437857,-0.115604,0.10505
-1.67214,-0.0117133,-1.52033,-0.425821,-0.141312,0.106844
-1.66845,-0.0151461,-1.57875,-0.428592,0.0489958,0.0931887
-1.72561,-0.00167929,-1.52909,-0.443692,-0.120165,0.266284
-1.67206,-0.00873883,-1.57931,-0.4439,0.0522417,0.101556
-1.6795,-0.00486072,-1.52035,-0.422994,-0.141338,0.129417
-1.67379,0.0090323,-1.52299,-0.4453,-0.133289,0.111566
-1.67819,0.0103532,-1.5436,-0.466515,-0.0685266,0.121482
-1.67381,0.0218538,-1.51545,-0.438089,-0.155663,0.114332
-1.68361,0.0145547,-1.55221,-0.462136,-0.0387064,0.140491
-1.7066,-0.00617344,-1.53456,-0.451417,-0.102642,0.207528
-1.70026,0.0139437,-1.52936,-0.439031,-0.111085,0.195077
-1.68381,0.0214343,-1.5451,-0.4589,-0.0595578,0.142217
-1.69749,0.00315034,-1.53597,-0.428263,-0.0961284,0.180998
-1.71138,-0.00250935,-1.53765,-0.442922,-0.0845406,0.231493
-1.71439,0.0123168,-1.5404,-0.438072,-0.0764532,0.237947
-1.68498,0.0150856,-1.54027,-0.478539,-0.064044,0.144438
-1.72907,0.00742071,-1.52092,-0.433118,-0.139629,0.287529
-1.67434,0.0125713,-1.52266,-0.422164,-0.132089,0.113119
-1.68021,0.00935707,-1.53912,-0.454257,-0.0799384,0.127647
-1.68104,-0.049386,-1.51658,-0.481484,-0.156157,0.120082
-1.68326,0.0018763,-1.54014,-0.448142,-0.0834488,0.137373
-1.67613,0.0134747,-1.544,-0.452717,-0.0693408,0.121502
-1.67598,0.0234243,-1.53593,-0.454375,-0.0924701,0.120032
-1.68052,0.00317514,-1.53419,-0.468945,-0.100763,0.130389
-1.66682,-0.00482835,-1.54693,-0.425488,-0.0587788,0.0836855
-1.67184,-0.00818737,-1.51892,-0.44946,-0.145783,0.104597
-1.70364,0.0128109,-1.53344,-0.438069,-0.100384,0.206362
-1.67066,-0.0172799,-1.53267,-0.44357,-0.104691,0.0995833
-1.68599,0.0117428,-1.54689,-0.447568,-0.0598759,0.151393
-1.69467,0.0110002,-1.52657,-0.439591,-0.125313,0.175282
-1.66822,0.0108017,-1.52396,-0.459541,-0.127187,0.0924939
-1.67287,0.00247415,-1.52311,-0.456445,-0.136919,0.107114
-1.66848,0.0042649,-1.53585,-0.445868,-0.0971437,0.0923482
-1.73324,0.000876583,-1.53543,-0.435162,-0.100042,0.292786
