roll,pitch,yaw,x,y,z
-2.23755,-0.276207,-2.39749,2.25194,1.28694,0.139082
1.0062,-0.305071,-2.2406,3.98125,-0.41833,-0.39788
1.04097,-0.202484,-2.05847,4.06399,-0.556439,-0.598023
1.12376,-0.161482,-2.15287,4.18135,-0.533358,-0.506718
1.09839,-0.132193,-1.95735,4.00041,-0.34846,-0.481168
-2.57537,-0.596228,-1.7672,2.54946,0.780468,0.613268
1.18515,-0.47638,-2.5503,3.25739,-0.718265,-0.261979
1.9076,0.169997,-2.23649,4.13803,-0.67616,0.345036
1.2095,-1.13524,-3.11156,3.38276,-0.691271,0.0313381
-1.83581,0.0561139,-1.63897,2.21237,0.162938,-0.440407
1.04968,-0.156284,-1.84521,3.96411,-0.284834,-0.503009
-2.36611,-0.0791724,-2.03809,2.19448,0.764047,0.219515
1.00515,-0.0620459,-2.40422,4.30043,-0.793551,-0.611952
1.09675,-0.131762,-2.07382,4.44114,-0.604602,-0.613945
1.0928,-0.0303234,-2.18669,4.55115,-0.680276,-0.631847
-1.74201,-0.0203748,-1.73722,2.14245,0.236389,-0.498663
-2.14627,-0.260181,-1.55146,2.33569,0.126432,0.0400522
2.08932,0.0852833,-2.10013,4.08934,-0.517943,0.437157
1.04759,-0.0112171,-2.3805,4.43953,-0.776359,-0.646915
-1.81218,0.020309,-1.32472,2.36424,-0.254222,-0.458033
1.01096,-0.234119,-2.10967,4.34895,-0.614266,-0.590254
1.99536,-0.0195716,-0.517027,3.82082,0.79421,0.18485
2.02097,-0.015066,-1.3642,4.25875,0.235579,0.337273
1.17089,-0.0925249,-2.07286,4.3072,-0.500202,-0.498024
1.0545,-0.214048,-2.08844,4.18026,-0.572631,-0.628596
1.05786,-0.216993,-2.09009,4.44854,-0.574405,-0.577502
1.11149,-0.167339,-2.16797,4.52704,-0.719259,-0.669991
1.47509,0.222924,1.1336,2.70561,0.724715,-0.1887
-1.19315,-0.34657,-1.60714,2.23094,-0.145885,-1.1434
2.03379,-0.0398436,-1.30974,4.30478,0.314659,0.294747
1.89372,0.253271,-1.92725,4.72531,-0.593207,0.362558
2.27774,0.0309262,-1.12331,4.59705,0.27838,0.648713
-2.09424,-0.124122,-1.57233,2.35983,0.120861,-0.0612676
2.13298,0.0258393,-1.04626,3.67274,0.366237,0.422561
1.00958,-0.174937,-2.1435,4.17143,-0.48052,-0.58932
1.95951,-0.157494,-0.763499,4.33458,0.795562,0.322893
1.02365,-0.681388,-2.66167,3.32812,-0.753597,-0.3703
-1.89383,0.0759792,-1.54454,2.17301,0.028131,-0.343358
-2.28669,-0.107789,-1.49272,2.45734,0.014268,0.06061
-1.92146,0.0422744,-1.55889,2.28526,0.0161549,-0.332811
-1.91364,0.0523455,-1.62159,2.05388,0.105384,-0.287782
1.00009,-0.365402,-2.31899,4.20458,-1.02207,-0.632271
1.85775,-0.0728799,-2.13942,4.01778,-0.455759,0.193818
-1.91855,0.0676891,-1.62212,2.02817,0.110012,-0.296475
-2.15469,-0.318494,-1.42471,2.59989,0.0110211,-0.0940195
-1.90556,0.350204,-1.685,2.45735,0.235115,-0.526851
1.89262,0.0147014,-0.889628,4.64913,0.800115,0.314149
-1.882,0.369769,-1.51907,2.24395,-0.0832898,-0.237033
1.35155,-0.686415,1.40478,2.32801,0.151415,-0.487326
2.12861,0.304081,-0.976421,4.58129,0.20036,0.500098
