roll,pitch,yaw,x,y,z
-1.47907,0.00218044,-1.50833,-0.200696,-0.314692,0.0742494
-1.42442,0.0168272,-1.57946,-0.30069,-0.0741254,-0.103252
-1.57384,-0.0395048,-1.52172,-0.206375,-0.269676,0.386124
-1.51013,-0.0798109,-1.494,-0.302594,-0.396171,0.175431
-1.54909,0.0172918,-1.54036,-0.157128,-0.180378,0.271805
-1.49547,-0.028059,-1.51092,-0.210478,-0.324101,0.152044
-1.41139,0.0234393,-1.55449,-0.310182,-0.155279,-0.145484
-1.42519,0.0136587,-1.58761,-0.295095,-0.0483726,-0.101844
-1.40944,0.0327343,-1.57059,-0.281995,-0.0939567,-0.143847
-1.45744,-0.00356614,-1.57026,-0.165478,-0.0864175,0.0100591
-1.45626,0.00964563,-1.5704,-0.304673,-0.105921,0.000695181
-1.28102,0.0970819,-1.54709,-0.212048,-0.104134,-0.633612
-1.40902,0.026299,-1.56771,-0.297762,-0.110994,-0.151795
-1.45472,-0.0135996,-1.60367,-0.277455,0.000748429,-0.0188971
-1.44932,0.00887757,-1.60008,-0.264629,0.00571262,-0.031281
-1.1166,0.349337,-1.5645,0.0600473,0.516719,-0.960778
-1.40583,0.0173247,-1.55887,-0.289928,-0.113502,-0.155681
-1.40387,0.00512972,-1.4932,-0.328327,-0.377317,-0.175722
-1.56521,-0.070214,-1.52445,-0.274162,-0.243978,0.305707
-1.16955,0.28939,-1.52008,0.0018257,0.162342,-0.864799
-1.43093,0.0154041,-1.59243,-0.278866,-0.0109584,-0.0804099
-1.47212,-0.159805,-1.48738,-0.470958,-0.461259,-0.0428188
-1.44606,-0.017971,-1.56205,-0.37507,-0.151346,-0.0352199
-1.41663,0.0160873,-1.53634,-0.343251,-0.217454,-0.128251
-1.42461,0.0196906,-1.54181,-0.302923,-0.206078,-0.100119
-1.44485,0.0144818,-1.56995,-0.400878,-0.133974,-0.0177729
-1.4285,0.0176133,-1.5748,-0.280926,-0.064097,-0.0881634
-1.38643,0.00265949,-1.52243,-0.0831356,-0.201121,-0.199224
-1.5751,-0.079655,-1.52962,-0.166446,-0.172325,0.333021
-1.41907,0.0139329,-1.54499,-0.303822,-0.188927,-0.123203
-1.42783,0.00288835,-1.5874,-0.379934,-0.0605945,-0.098605
-1.42561,0.0215064,-1.55571,-0.302408,-0.145628,-0.0952523
-1.44186,0.0282956,-1.58913,-0.277552,-0.00838015,-0.0487949
-1.55196,-0.139715,-1.54408,-0.237009,-0.131157,0.23647
-1.42607,0.0120935,-1.58309,-0.291396,-0.0512872,-0.0957701
-1.43827,0.01451,-1.58293,-0.20089,-0.0540394,-0.0517794
-1.45812,0.0211586,-1.58987,-0.276709,-0.0187912,-0.00141084
-1.24603,-0.217236,-1.45643,0.114641,-0.566265,-0.435131
-1.57732,-0.0528099,-1.53627,-0.184464,-0.195549,0.400807
-1.55322,-0.0194298,-1.54109,-0.174429,-0.201061,0.306589
-1.35423,0.036868,-1.58716,-0.284855,-0.0311692,-0.323176
-1.58521,-0.0164353,-1.5415,-0.139396,-0.18559,0.413013
-1.4275,0.0130301,-1.59213,-0.257756,-0.0175917,-0.0905446
-1.51374,-0.0810298,-1.55244,-0.148448,-0.0864884,0.154394
-1.51344,-0.0292746,-1.57951,-0.209515,-0.0502844,0.204608
-1.4989,-0.0417163,-1.54718,-0.234341,-0.190325,0.170235
-1.4348,0.00874156,-1.58339,-0.330765,-0.0604938,-0.0722478
-1.24489,-0.22258,-1.50334,0.0741612,-0.366071,-0.402334
-1.26353,0.178832,-1.71379,-0.0824104,0.489192,-0.569304
-1.41216,0.0176772,-1.49799,-0.309977,-0.345096,-0.145291
