roll,pitch,yaw,x,y,z
-1.70723,-0.00514548,-1.58559,-0.0811765,0.105015,0.211374
-1.66903,0.00594454,-1.56616,-0.0811959,0.0278759,0.113847
-1.65486,0.0224772,-1.57894,-0.115905,0.0468199,0.0686715
-1.80402,0.00305106,-1.54261,-0.00385223,-0.0432134,0.455068
-1.63885,0.0323993,-1.55748,-0.107806,-0.0127467,0.0212221
-1.82194,0.0146198,-1.34721,-0.0405965,-0.601184,0.546362
-1.68227,-0.00824845,-1.6516,-0.14663,0.337918,0.158762
-1.66457,0.0158948,-1.45557,-0.160785,-0.314118,0.118625
-1.68645,0.00603305,-1.57871,-0.0755095,0.0539042,0.155005
-1.76456,0.0399483,-1.3684,0.040639,-0.602963,0.334038
-1.7017,0.00235857,-1.50236,-0.105158,-0.147609,0.204931
-1.6908,0.0123896,-1.53302,-0.080148,-0.0675884,0.173733
-1.84928,0.0333773,-1.35417,0.0102395,-0.624518,0.63253
-1.81025,0.0144334,-1.34056,-0.0580474,-0.630581,0.521183
-1.68769,-0.0005756,-1.60195,-0.100901,0.120295,0.167367
-1.71567,0.00288686,-1.56328,-0.0794927,0.0322685,0.24124
-1.61246,-0.0220197,-1.68902,-0.0712771,0.440442,-0.0670498
-1.73486,0.0163174,-1.54175,-0.0232068,-0.0555318,0.269582
-1.66384,0.010326,-1.57735,-0.0757068,0.0502651,0.0951176
-1.7079,0.00542061,-1.58694,-0.0768108,0.0707169,0.20882
-1.772,-0.0495266,-1.44148,0.00839825,-0.300982,0.441864
3.02629,-0.858489,-0.873557,1.28525,1.36258,1.51919
-1.66679,0.0963242,-1.49495,0.0553521,-0.262486,0.0928604
-1.66194,0.0306084,-1.58806,-0.222793,0.00639011,0.0861752
-1.73137,-0.0205456,-1.63548,-0.137214,0.298083,0.294937
-1.77007,0.007286,-1.50619,-0.0565843,-0.158677,0.366401
-1.7095,0.0125068,-1.56416,-0.0439085,0.0133252,0.205508
-1.87984,-0.0459929,-1.0816,0.72808,-1.05463,0.673691
3.61347,-0.617206,-1.50683,1.49058,1.83107,1.3931
-1.769,-0.0406504,-1.43135,0.0320328,-0.326682,0.423884
1.93555,-1.05542,0.789479,0.28513,1.36823,0.161093
-1.8254,0.0297417,-1.36559,-0.0338366,-0.598545,0.573882
-1.67885,0.0109521,-1.54778,-0.152835,-0.0465246,0.164098
-1.66075,0.00790929,-1.53901,-0.124917,-0.0436578,0.0996113
-1.81972,0.0336895,-1.34509,0.124742,-0.696254,0.486021
-1.68561,0.00965043,-1.55599,-0.087094,-0.00300442,0.15766
-1.73727,0.0110821,-1.45795,-0.117788,-0.253602,0.287711
-1.69652,0.110757,-1.29129,-0.271785,-0.772127,0.279997
-1.83893,-0.0297443,-1.18593,0.459481,-0.89443,0.576369
-1.80161,0.00459933,-1.53232,-0.0387093,-0.0731566,0.460155
-1.77972,0.0117693,-1.51844,-0.0705244,-0.111983,0.392984
2.61667,-0.422435,-0.755141,2.29235,1.87468,0.937223
-1.65311,0.0248774,-1.53556,-0.142531,-0.112688,0.0709388
2.768,-1.06959,-0.0405802,0.444813,1.24873,0.992668
-1.74619,0.0129641,-1.45642,-0.0945934,-0.309158,0.343432
-1.68506,0.0571249,-1.3595,-0.0177713,-0.683388,0.149746
-1.72024,0.0179819,-1.46925,-0.0163616,-0.249524,0.25149
-1.67408,0.00242211,-1.58688,-0.0342193,0.0842462,0.121005
-1.66164,0.0158895,-1.52837,-0.066002,-0.101785,0.0985609
-1.72074,0.0113951,-1.5661,-0.0549063,0.0125594,0.236822
