roll,pitch,yaw,x,y,z
-1.88227,-0.017875,-1.59367,-0.282958,0.0670159,0.200121
-1.92427,-0.0202831,-1.58729,-0.268783,0.0402652,0.336026
-1.86452,-0.0154862,-1.58271,-0.293672,0.0188314,0.139235
-1.90378,-0.0216822,-1.61301,-0.297602,0.138092,0.275805
-1.89032,-0.0279065,-1.57919,-0.332839,0.0292205,0.236354
-1.93743,-0.0225097,-1.59035,-0.264971,0.0514828,0.377167
-1.90541,-0.0177696,-1.58638,-0.288374,0.039802,0.27938
-1.92573,-0.0159348,-1.57617,-0.257261,0.0101239,0.338883
-1.88123,-0.0164332,-1.5899,-0.354527,0.0610448,0.203601
-1.86969,-0.0166811,-1.57345,-0.341293,0.00644428,0.159491
-1.8305,-0.010831,-1.61542,-0.183788,0.122589,0.0255138
-1.88532,-0.0207788,-1.59603,-0.342965,0.0935524,0.21851
-1.89459,-0.0238501,-1.61658,-0.256996,0.150126,0.234662
-1.90918,-0.0218306,-1.59077,-0.312759,0.0712723,0.301613
-1.9117,-0.00154126,-1.59849,-0.323275,0.0837578,0.326545
-1.92407,-0.025356,-1.57641,-0.324088,0.0237668,0.372215
-1.88352,-0.0179669,-1.60278,-0.340508,0.103271,0.208397
-1.89235,-0.0301353,-1.57087,-0.329576,-0.00258638,0.244583
-1.90906,0.038749,-1.58896,-0.3661,0.0277568,0.371741
-1.89605,-0.0151065,-1.56627,-0.311643,-0.0337693,0.24891
-1.887,-0.0100666,-1.59886,-0.361497,0.116883,0.236174
-1.8932,-0.00968544,-1.53601,-0.291351,-0.134719,0.236231
-1.88258,-0.0189387,-1.60331,-0.318002,0.113184,0.205664
-1.93149,-0.0241171,-1.56943,-0.299425,-0.0101033,0.360421
-1.91425,-0.0377523,-1.57299,-0.351198,0.00790326,0.330872
-1.82256,-0.00837963,-1.60227,-0.199508,0.0630714,-0.00762551
-1.92327,-0.0206586,-1.58026,-0.349498,0.031219,0.376044
-1.87849,-0.00702577,-1.57256,-0.362387,-0.00368051,0.195032
-1.91614,-0.0878008,-1.57021,-0.346958,0.0357244,0.324542
-1.88949,-0.00655309,-1.61053,-0.351099,0.149937,0.248458
-1.895,-0.0258833,-1.62726,-0.303775,0.21564,0.249742
-1.89582,-0.018279,-1.6102,-0.315687,0.128385,0.251977
-1.90156,-0.0220923,-1.59055,-0.307977,0.0599561,0.267533
-1.87358,-0.0154715,-1.58702,-0.208683,0.0514686,0.162483
-1.87533,-0.0168249,-1.60366,-0.379177,0.140652,0.18518
-1.88939,-0.0144846,-1.5859,-0.38268,0.0498632,0.24273
-1.88003,-0.0191821,-1.57538,-0.320953,0.0122354,0.191791
-1.93576,-0.179616,-1.55604,-0.331943,0.0501845,0.374147
-1.88738,-0.00757557,-1.5771,-0.373744,0.0274768,0.233846
-1.93239,-0.02299,-1.57185,-0.275569,-0.00653771,0.362783
-1.8835,-0.0128053,-1.56091,-0.407412,-0.0567144,0.218984
-1.93553,-0.0202792,-1.56142,-0.298138,-0.0422436,0.376098
-1.89346,-0.0118847,-1.60881,-0.332779,0.13281,0.254347
-1.92081,-0.0301729,-1.58868,-0.139901,0.0480098,0.305131
-1.89986,0.00113858,-1.57157,-0.392287,-0.0160909,0.300445
-1.84306,-0.0162558,-1.60826,-0.251877,0.127086,0.0333675
-1.91749,0.00192073,-1.5922,-0.361448,0.0679289,0.374024
-1.87332,-0.01446,-1.55788,-0.319741,-0.0540871,0.172762
-1.91825,-0.022023,-1.593,-0.310735,0.0797611,0.335297
-1.92758,-0.010064,-1.56503,-0.27152,-0.0236096,0.3522
